#datatype measurement,dateTime:RFC3339,float,float,double
speed,msgTime,latitude,longitude,gpsSpeed
speed,2021-08-25T12:22:30Z,41.20752,29.07588,12.4
speed,2021-08-25T12:22:29Z,41.20752,29.07596,11.9
speed,2021-08-25T12:22:25Z,41.20742,29.07613,8.9
speed,2021-08-25T12:22:24Z,41.20738,29.07615,0
speed,2021-08-25T12:22:21Z,41.2072,29.07618,16.4
speed,2021-08-25T12:22:19Z,41.20707,29.07618,8.8
speed,2021-08-25T12:22:17Z,41.207,29.07616,7.9
speed,2021-08-25T12:22:13Z,41.20688,29.0761,3.4
speed,2021-08-25T12:22:09Z,41.20673,29.07601,8.3
speed,2021-08-25T12:22:06Z,41.20663,29.07594,17.2
speed,2021-08-25T12:22:04Z,41.20648,29.07582,23.4
speed,2021-08-25T12:22:00Z,41.20615,29.07551,20.2
speed,2021-08-25T12:21:56Z,41.20588,29.0752,20.1
speed,2021-08-25T12:21:52Z,41.20553,29.07475,32.9
speed,2021-08-25T12:21:49Z,41.20504,29.0743,30.7
speed,2021-08-25T12:21:48Z,41.20504,29.0743,30
speed,2021-08-25T12:21:44Z,41.20455,29.07354,35.3
speed,2021-08-25T12:21:39Z,41.2044,29.07285,25.5
speed,2021-08-25T12:21:35Z,41.20439,29.07218,26.1
speed,2021-08-25T12:21:31Z,41.20429,29.07162,23
speed,2021-08-25T12:21:28Z,41.204,29.07136,32.2
speed,2021-08-25T12:21:27Z,41.20386,29.07126,36.4
speed,2021-08-25T12:21:23Z,41.20326,29.07099,31.9
speed,2021-08-25T12:21:21Z,41.20298,29.07094,24.8
speed,2021-08-25T12:21:19Z,41.20279,29.07073,13.8
speed,2021-08-25T12:21:18Z,41.20279,29.07073,11.3
speed,2021-08-25T12:21:14Z,41.20278,29.07045,11.9
speed,2021-08-25T12:21:10Z,41.20277,29.07014,10.8
speed,2021-08-25T12:21:07Z,41.20272,29.06999,7.8
speed,2021-08-25T12:21:06Z,41.20269,29.06997,6.1
speed,2021-08-25T12:21:02Z,41.20257,29.06995,3.4
speed,2021-08-25T12:20:58Z,41.20237,29.06996,19.2
speed,2021-08-25T12:20:54Z,41.20189,29.06994,28.5
speed,2021-08-25T12:20:51Z,41.20155,29.06991,14.8
speed,2021-08-25T12:20:49Z,41.20143,29.06992,8.1
speed,2021-08-25T12:20:47Z,41.20137,29.0699,4.1
speed,2021-08-25T12:20:45Z,41.20133,29.06989,3.2
speed,2021-08-25T12:20:44Z,41.20131,29.06989,7.3
speed,2021-08-25T12:20:41Z,41.20114,29.0699,17.3
speed,2021-08-25T12:20:37Z,41.20079,29.0699,17.6
speed,2021-08-25T12:20:33Z,41.20048,29.06987,14.9
speed,2021-08-25T12:20:29Z,41.20025,29.06977,9.6
speed,2021-08-25T12:20:24Z,41.20005,29.06965,16.7
speed,2021-08-25T12:20:22Z,41.19988,29.06955,24.4
speed,2021-08-25T12:20:20Z,41.19967,29.06941,27.5
speed,2021-08-25T12:20:17Z,41.19934,29.06913,28.5
speed,2021-08-25T12:20:16Z,41.19923,29.06904,27.7
speed,2021-08-25T12:20:12Z,41.19877,29.06879,25.5
speed,2021-08-25T12:20:08Z,41.19846,29.06847,18.7
speed,2021-08-25T12:20:06Z,41.19836,29.0683,12.9
speed,2021-08-25T12:20:04Z,41.19833,29.0682,4.7
speed,2021-08-25T12:20:02Z,41.19836,29.06816,4.5
speed,2021-08-25T12:20:00Z,41.19841,29.06819,4
speed,2021-08-25T12:19:55Z,41.19844,29.0683,6.4
speed,2021-08-25T12:19:51Z,41.19856,29.06852,14.7
speed,2021-08-25T12:19:47Z,41.19884,29.06878,24.7
speed,2021-08-25T12:19:46Z,41.19895,29.06886,27.5
speed,2021-08-25T12:19:43Z,41.19931,29.06912,29.8
speed,2021-08-25T12:19:39Z,41.19976,29.06948,24.7
speed,2021-08-25T12:19:35Z,41.20015,29.06974,12.3
speed,2021-08-25T12:19:30Z,41.20041,29.06988,17.9
speed,2021-08-25T12:19:26Z,41.20075,29.06995,18.6
speed,2021-08-25T12:19:22Z,41.20112,29.06994,18.8
speed,2021-08-25T12:19:18Z,41.2014,29.06994,11
speed,2021-08-25T12:19:16Z,41.20151,29.06994,13.3
speed,2021-08-25T12:19:14Z,41.20164,29.06996,16.2
speed,2021-08-25T12:19:10Z,41.20212,29.07,22.7
speed,2021-08-25T12:19:05Z,41.20244,29.07,16.3
speed,2021-08-25T12:19:04Z,41.20256,29.07,12.8
speed,2021-08-25T12:19:01Z,41.20265,29.06999,8.8
speed,2021-08-25T12:18:57Z,41.20282,29.06996,6.7
speed,2021-08-25T12:18:53Z,41.20291,29.06993,6.7
speed,2021-08-25T12:18:49Z,41.20313,29.06982,17.6
speed,2021-08-25T12:18:45Z,41.2036,29.06961,22.7
speed,2021-08-25T12:18:40Z,41.20404,29.06953,23.1
speed,2021-08-25T12:18:38Z,41.20445,29.06956,20.2
speed,2021-08-25T12:18:34Z,41.20474,29.06973,13
speed,2021-08-25T12:18:30Z,41.20493,29.06991,7.4
speed,2021-08-25T12:18:26Z,41.205,29.06998,2.4
speed,2021-08-25T12:18:22Z,41.20513,29.07023,16.9
speed,2021-08-25T12:18:17Z,41.20523,29.07069,18.8
speed,2021-08-25T12:18:16Z,41.20523,29.07081,18.6
speed,2021-08-25T12:18:13Z,41.20525,29.07118,19.2
speed,2021-08-25T12:18:09Z,41.20525,29.0716,10.8
speed,2021-08-25T12:18:05Z,41.20525,29.07182,7.7
speed,2021-08-25T12:18:01Z,41.20526,29.07203,8.7
